link,feature,q,Q_in,Q_out,B,H,U,Jden,cnrat,N_conc_ri,N_conc_us,N_conc_ds,N_conc_in,C_conc_ri,C_conc_us,C_conc_ds,C_conc_in,mass_N_out,mass_C_out,link_DR,link_EF
0,1,0.06626717700356376,0.0,0.06626717700356376,0.12977326667870967,0.389465366174891,1.3111258791389484,0.008492006250000001,0.46490251808325483,18.7881,,18.741432375754076,18.7881,8.734635,,8.687967375754077,8.734635,1.2419418165444158,0.5757270718902827,0.0,0.9975161073101632
1,1,0.0023400384919375124,0.02377343453403183,0.026113473025969343,0.055608385245182496,0.5352263883286462,0.8773781893968656,0.0010028013068181818,0.4360649868730608,26.3961,0.0,2.364268825333232,2.365364805194805,11.510415,0.0,1.0303567928656994,1.0314527727272726,0.061739270196479575,0.02690619431762272,0.0,0.9995366550397782
2,1,0.017736813496859696,0.014192842157621,0.03192965565448069,0.15248235337230062,0.34589520573068666,0.6053828397715172,0.008412937976581597,1.1896924555502162,12.486,0.0,6.898760128066395,6.935929899097187,14.8545,0.0,8.214453702150303,8.251623473181095,0.2202750353320211,0.2622846780993333,0.0,0.9946409823092892
3,1,0.0858861953743732,0.0923806500295331,0.1782668454039063,0.12674408522488517,0.9630946173509427,1.4604070555294664,0.0006180427375630172,0.1684633062662785,7.8324,0.0,3.772806975096829,3.773528583658328,1.3194719999999998,0.0,0.6349794929318902,0.6357011014933891,0.6725663977683658,0.11319579110114007,0.0,0.9998087708770449
4,1,0.06842069068817291,0.0,0.06842069068817291,0.11312530051476369,0.6658900412119976,0.9082913708808062,0.01117256875,0.49909382288178655,23.0253,,22.98255466920477,23.0253,11.491785,,11.449039669204772,11.491785,1.5724822642456837,0.7833512018832812,0.0,0.9981435494523315
5,1,0.013395872526308947,0.0,0.013395872526308947,0.05005546751626985,0.3484838806765541,0.7679567991642037,0.004448045,0.16970577761951394,26.9592,,26.942892586021774,26.9592,4.575132,,4.5588245860217755,4.575132,0.3609235545723821,0.06106943302415086,0.0,0.9993951076449514
6,1,0.19886935821335613,0.0,0.19886935821335613,0.19286346054302375,1.0165825577703387,1.0143206408812084,0.0037511075000000007,0.17792974640638617,21.6843,,21.676496869147115,21.6843,3.858282,,3.8504788691471106,3.8582820000000004,4.31079102068111,0.7657422615213751,0.0,0.9996401483629683
7,1,0.06326582328564391,0.0,0.06326582328564391,0.10878038734064108,0.5091290897045722,1.1423275509664215,0.00413835625,0.17462738920136367,24.3753,,24.36573383615733,24.3753,4.256595,,4.247028836157329,4.256595,1.541518211103364,0.26869177583736353,0.0,0.9996075468263911
8,1,0.18883093221895753,0.0,0.18883093221895753,0.18793280137447207,0.7087026140553137,1.4177723914122569,0.004375350000000001,0.2449175510204082,18.375,,18.37069819381993,18.375,4.500360000000001,,4.496058193819931,4.500360000000001,3.4689560654521365,0.8489948600497,0.0,0.9997658880990438
9,1,0.06850547469150399,0.0,0.06850547469150399,0.11319536884016553,0.5154911112079389,1.174019850476195,0.0050078,0.22811893816597134,22.5798,,22.56315468640134,22.5798,5.15088,,5.134234686401338,5.15088,1.5456996223297566,0.3517231843695088,0.0,0.9992628228062844
